,cpu,gpu,carm,ccore,ch264,cuart,cpwm,chdmi,vcore,sdram_c,sdram_i,sdram_p,coh264,compg2,compg4,cowvc1,comjpg,mcpu,mgpu
0,0.0,0.0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,,,,,,0,0
1,60.861,60.0,1500345728,500000992,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
2,58.913,58.0,750199232,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
3,60.374,60.0,600117184,199995120,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
4,59.4,59.0,600117184,199995120,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
5,59.4,59.0,600169920,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
6,59.887,59.0,750199232,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
7,59.887,59.0,750199232,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
8,60.374,60.0,750199232,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
9,58.913,58.0,600117184,200008304,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
10,58.913,58.0,600169920,200008304,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
11,59.887,59.0,600117184,200008304,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
12,59.4,59.0,750199232,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
13,59.887,59.0,600169920,200008304,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
14,60.374,60.0,750199232,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
15,59.4,59.0,600117184,200008304,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
16,59.4,59.0,600169920,200008304,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
17,59.887,59.0,750199232,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
18,59.887,59.0,750199232,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
19,60.861,60.0,750199232,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
20,59.4,59.0,600117184,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
21,59.4,59.0,600117184,199995120,0,47988280,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
22,59.887,59.0,600169920,333333984,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
23,59.4,59.0,600117184,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
24,60.861,60.0,750199232,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
25,59.887,59.0,600169920,333333984,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
26,59.887,59.0,600169920,199995120,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
27,59.887,59.0,600117184,200008304,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
28,60.374,60.0,750146496,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
29,60.374,60.0,600117184,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
30,59.887,59.0,600117184,199995120,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
31,61.348,61.0,750146496,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
32,60.374,60.0,750146496,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
33,59.4,59.0,600117184,250000496,0,47988280,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
34,59.887,59.0,600117184,333333984,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
35,60.374,60.0,600169920,199995120,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
36,59.887,59.0,600117184,333333984,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
37,59.4,60.0,600169920,200008304,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
38,60.374,60.0,600169920,199995120,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
39,59.887,59.0,600169920,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
40,60.374,60.0,600169920,199995120,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
41,59.887,59.0,600169920,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
42,60.374,60.0,600169920,199995120,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
43,59.887,60.0,600117184,199995120,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
44,60.374,60.0,750199232,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
45,60.861,60.0,600117184,199995120,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
46,60.374,60.0,600169920,200008304,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
47,60.861,60.0,600117184,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
48,60.374,60.0,600117184,199995120,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
49,61.348,61.0,600117184,199995120,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
50,59.887,59.0,750199232,250000496,0,47988280,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
51,59.887,59.0,750199232,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
52,61.348,61.0,750199232,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
53,60.374,60.0,600117184,250000496,0,47988280,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
54,60.374,60.0,750146496,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
55,59.887,59.0,600169920,199995120,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
56,61.348,61.0,750146496,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
57,61.348,61.0,600117184,200008304,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
58,61.348,61.0,600117184,199995120,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
59,60.374,60.0,750146496,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
60,61.348,61.0,750199232,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
61,61.348,61.0,600169920,333333984,0,47988280,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
62,60.374,60.0,600117184,200008304,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
63,61.348,60.0,600117184,199995120,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
64,61.348,61.0,750199232,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
65,60.861,60.0,600117184,199995120,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
66,60.861,60.0,600169920,199995120,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
67,60.374,60.0,750199232,250000496,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
68,61.835,61.0,600117184,333333984,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
69,60.374,60.0,600117184,199995120,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
70,60.374,60.0,600117184,200008304,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
71,61.348,61.0,750146496,249987312,0,48001464,0,0,0.8563,1.1,1.1,1.1,False,False,False,False,False,939524096,134217728
